agency,#_of_positions,business_title,level,job_category,career_level,salary_range_from,salary_range_to,salary_frequency,preferred_skills,posting_date,post_until
dept of environment protection,2,region supervisor,00,engineering architecture planning,experienced nonmanager,53702.0,148745.0,annual,must have a valid pe license,2022-08-06,
dept of environment protection,1,2024bws010early warning remote modeling intern valhalla,00,engineering architecture planning,student,16.0,16.0,hourly,student must currently be enrolled at a collegeuniversity at the undergraduate level with coursework in mechatronics chemistry biology environmental science or other related field of study student must have at least a 25gpa on a 40 scale general understanding of mechatronics field work or laboratory operations strong writing skills effective interpersonal skills familiarity andor experience with ms office leadership skills including selfmotivation and ability to work well with minimal supervision,2024-02-04,2024-06-11
bronx district attorney,2,intelligence analyst,00,communications intergovernmental affairs technology data innovation legal affairs policy research analysis public safety inspections enforcement,experienced nonmanager,60000.0,60000.0,annual,,,2025-02-26
office of criminal justice,1,senior coordinator capital projects,00,engineering architecture planning,experienced nonmanager,59116.0,80000.0,annual,a baccalaureate degree from an accredited college and minimum 3 or more years of professional experience in project management government andor nonprofit administration public policy architecture urban planning or other relevant fields proficiency in microsoft word excel and powerpoint knowledge of bluebeam and adobe creative suite is a plus general understanding of nycs operational agencies andor nyc design planning policy and political landscape commitment to diversity equity inclusion social justice and public service and the ability to effectively work with diverse populations excellent interpersonal skills oral and written communication skills including public speaking proven ability to work well independently and cooperatively with teams excellent organizational timemanagement and multitasking skills ability to take initiative problem solve balance competing priorities pay close attention to detail and work well under pressure,2024-05-03,2024-05-29
dept of design construction,1,director,m2,engineering architecture planning,manager,64922.0,144066.0,annual,preference will be given to candidates with at least four years of strong managerial administrative or supervisory experience with design experience related to infrastructure work ie sewer water mains roadways familiarity with nycdot nysdot and nycdep specifications and standards familiarity with mutcd and aashto understanding of the nyc street infrastructure system and knowledge of current and uptodate engineering methods and standard excellent verbal and written communication skills knowledge and use of computers and proficiency in microsoft office applications is a must preference will be given to those with an env sp credential power ib and adobe software systems are also preferred,2023-06-11,
department of transportation,3,community coordinator,00,constituent services community programs,experienced nonmanager,59116.0,91768.0,annual,excellent communication oral and written presentation and analytical skills experience working with new york city agencies and community groups the ability to read site plans attention to detail the ability to handle a fastpaced and highpressure environment graphic design skills and project management experience preference is also given to candidates with familiarity with contracts legal documents and rules and regulations preference also given to candidates possessing database management skills graphic design skills gis skills and familiarity with the adobe suite and microsoft office bilingual is a plus,,
dept of design construction,2,senior contract manager,00,finance accounting procurement,experienced nonmanager,70611.0,81203.0,annual,candidates should have excellent organizational interpersonal verbal written and analytical skills proficiency using microsoft word excel and access queries and reports is a plus working knowledge of procurement functions entering and retrieving data from automated information systems passport financial management system fms and info advantage is preferred significant training from the mayors office of contract services procurement training institute in the citys procurement rules is required,,
bronx district attorney,70,law school summer intern 2024,00,constituent services community programs communications intergovernmental affairs legal affairs policy research analysis public safety inspections enforcement,student,18.83,18.83,hourly,,,2024-06-28
dept of environment protection,2,assistant project engineer,00,green jobs engineering architecture planning policy research analysis,entrylevel,56181.0,68034.0,annual,the assistant project engineer should possess the following strong ms office skills including excel powerpoint ability to comprehend maps graphs and tables basic autocad gis and arcgis knowledge,,
nyc housing authority,2,housing assistant,00,policy research analysis social services,experienced nonmanager,42723.0,69243.0,annual,a baccalaureate degree from an accredited college and five years of fulltime satisfactory supervisory andor administrative experience in housing management at a development or developments containing at least 150 apartments including overseeing the performance of duties such as interviewing applicants determining eligibility gathering and evaluating information to resolve complaints collecting rents andor resolving tenant related problems intermediate microsoft excel powerpoint and work skills ability to navigate various online databases ability to communicate clearly and concisely both verbally and in writing excellent detailorientation and follow up skills experience using and navigating siebel as400 eiv o excellent communication and organizational skills o ability to monitor caseload and work independently understanding of nycha and departmental policies and procedures and overall operational structure,,2024-05-10
dept of healthmental hygiene,1,quality management coordinator bureau of the public health laboratory,02,constituent services community programs health policy research analysis,experienced nonmanager,82506.0,94882.0,annual,a nys clinical laboratory technologist license is preferred important notes to all candidates please note if you are called for an interview you will be required to bring to your interview copies of original documentation such as a document that establishes identity for employment eligibility such as a valid us passport permanent resident cardgreen card or drivers license proof of education according to the education requirements of the civil service title current resume proof of addressnyc residency dated within the last 60 days such as recent utility bill ie telephone cable mobile phone additional documentation may be required to evaluate your qualification as outlined in this postings minimum qualification requirements section examples of additional documentation may be but not limited to college transcript experience verification or professional trade licenses if after your interview you are the selected candidate you will be contacted to schedule an onboarding appointment by the time of this appointment you will be asked to produce the originals of the above documents along with your original social security card loan forgiveness as a prospective employee of the city of new york you may be eligible for federal loan forgiveness programs and state repayment assistance programs for more information please visit the us department of educations website at studentaidgovpslf final appointments are subject to office of management budget approval note this position may be eligible for remote work up to two days per week pursuant to the remote work pilot program agreed to between the city and dc37,2024-07-03,2024-07-05
nyc employees retirement sys,1,senior server and application administrator,02,technology data innovation policy research analysis,experienced nonmanager,85371.0,98177.0,annual,the candidate must have excellent customer service and communications oral and written skills minimum of seven 7 years of experience working in an it infrastructure team supporting roughly 600 users,2023-04-12,
